Attenuation,On,Heat
0,3000,-30
0,3000,2940
0,3000,5910
0,3000,8880
0,3000,11850
0,3000,14820
0,3000,17790
0,3000,20760
0,3000,23730
0,3000,26700
0,3000,29670
0,3000,32640
0,3000,35610
0,3000,38580
0,3000,41550
0,3000,44520
0,3000,47490
0,3000,50460
0,3000,53430
0,3000,56400
0,3000,59370
0,3000,62340
0,3000,65310
0,3000,68280
0,3000,71250
0,3000,74220
0,3000,77190
0,3000,80160
0,3000,83130
0,3000,86100
0,3000,89070
0,3000,92040
0,3000,95010
0,3000,97980
38,2842,100950
150,2730,103762
258,2622,106462
362,2518,109054
461,2419,111542
557,2323,113931
648,2232,116224
737,2143,118426
821,2059,120539
902,1978,122568
980,1900,124516
1055,1825,126386
1127,1753,128181
1196,1684,129904
1262,1618,131558
1325,1555,133146
1386,1494,134671
1445,1435,136135
1501,1379,137540
1555,1325,138889
1607,1273,140184
1657,1223,141427
1704,1176,142620
1750,1130,143766
1794,1086,144866
1836,1044,145922
1877,1003,146936
1916,964,147909
1953,927,148843
1989,891,149740
2024,856,150601
2057,823,151427
2088,792,152220
2119,761,152982
2148,732,153713
2176,704,154415
2203,677,155089
2229,651,155736
2254,626,156357
2278,602,156953
2301,579,157525
2322,558,158074
2344,536,158602
2364,516,159108
2383,497,159594
2402,478,160061
2420,460,160509
2437,443,160939
2454,426,161352
2469,411,161748
2485,395,162129
2499,381,162494
2513,367,162845
2527,353,163182
2540,340,163505
2552,328,163815
2564,316,164113
2575,305,164399
2586,294,164674
2597,283,164938
2607,273,165191
2617,263,165434
2626,254,165667
2635,245,165891
2644,236,166106
2652,228,166312
2660,220,166510
2668,212,166700
2675,205,166882
2682,198,167057
2689,191,167225
2695,185,167386
2701,179,167541
2707,173,167690
2713,167,167833
2718,162,167970
2724,156,168102
2729,151,168228
2733,147,168349
2738,142,168466
2743,137,168578
2747,133,168685
2751,129,168788
2755,125,168887
2759,121,168982
2762,118,169073
2766,114,169161
2769,111,169245
2773,107,169326
2776,104,169403
2779,101,169477
2781,99,169548
2784,96,169617
2787,93,169683
2789,91,169746
2792,88,169807
2794,86,169865
2796,84,169921
2799,81,169975
2801,79,170026
2803,77,170075
2804,76,170122
2806,74,170168
2808,72,170212
2810,70,170254
2811,69,170294
2813,67,170333
2814,66,170370
2816,64,170406
2817,63,170440
2818,62,170473
2820,60,170505
2821,59,170535
2822,58,170564
2823,57,170592
2824,56,170619
2825,55,170645
2826,54,170670
2827,53,170694
2828,52,170717
2829,51,170739
2830,50,170760
2831,49,170780
2831,49,170799
2832,48,170818
2833,47,170836
2834,46,170853
2834,46,170869
2835,45,170885
2836,44,170900
2836,44,170914
2837,43,170928
2837,43,170941
2838,42,170954
2838,42,170966
2839,41,170978
2839,41,170989
2840,40,171000
2840,40,171010
2840,40,171020
2841,39,171030
2841,39,171039
2841,39,171048
2842,38,171057
2842,38,171065
2842,38,171073
2843,37,171081
2843,37,171088
2843,37,171095
2844,36,171102
2844,36,171108
2844,36,171114
2844,36,171120
2845,35,171126
2845,35,171131
2845,35,171136
2845,35,171141
2845,35,171146
2846,34,171151
2846,34,171155
2846,34,171159
2846,34,171163
2846,34,171167
2846,34,171171
2847,33,171175
2847,33,171178
